timestamp,x,y,z,rx,ry,rz
1784707817334,-87.8775482,43.7426567,111.682213,-8.75889778,57.0488205,83.9255295
1784707817465,-87.529213,43.5241814,111.441933,-8.76747322,56.9802246,83.848877
1784707817513,-87.1480865,43.3400841,111.049217,-8.87676239,56.9646606,83.7711945
1784707817558,-86.7035446,43.2427444,110.703865,-9.00462723,56.9967003,83.6253433
1784707817602,-86.2020721,43.1460571,110.414551,-9.06466389,57.0332222,83.5084991
1784707817647,-85.8041382,43.0778465,110.25631,-9.09248257,57.0130882,83.4768295
1784707817692,-85.3596497,42.944458,109.859802,-9.13310432,57.0847626,83.4055634
1784707817736,-85.1303406,42.8044434,109.614594,-9.13227558,57.1086044,83.4235611
1784707817780,-84.9151001,42.494751,109.11454,-9.19301701,57.2057571,83.3624268
1784707817824,-84.8460922,42.1684494,108.682915,-9.25908566,57.2409477,83.2699509
1784707817868,-84.7888718,41.8312073,108.238968,-9.41545963,57.2081604,83.0437393
1784707817913,-84.6182022,41.4996758,108.031273,-9.69321156,57.1858101,82.7894974
1784707817957,-84.2895813,41.0830917,107.784912,-9.67277718,57.2646294,82.8056107
1784707818001,-84.0686188,40.6238976,107.580414,-9.56806278,57.3419838,82.9387436
1784707818045,-84.0774155,40.2460022,107.525764,-9.30961132,57.3089828,83.2393112
1784707818089,-84.203064,39.9052811,107.23925,-9.12874794,57.2963676,83.4605026
1784707818134,-84.4617691,39.6788902,106.962105,-9.01233196,57.2775917,83.5731812
1784707818178,-84.6361389,39.5068245,106.655777,-9.13224983,57.308136,83.4806824
1784707818222,-84.7432251,39.3292847,106.505013,-9.10874557,57.3331718,83.4815445
1784707818266,-84.7893143,39.0238686,106.245041,-8.93900013,57.4173088,83.5799255
1784707818310,-85.0138245,38.6431007,106.048981,-8.79650688,57.4618034,83.7715378
1784707818355,-85.2268372,38.2552872,105.611023,-8.59235001,57.4874802,83.9810181
1784707818399,-85.4621887,37.9282379,105.182404,-8.53913784,57.5239105,84.1140442
1784707818443,-85.6666107,37.7930908,104.632919,-8.42014885,57.4896927,84.1691666
1784707818488,-85.7282944,37.7618904,104.149254,-8.55208206,57.5334511,84.0404663
1784707818532,-85.6679916,37.6332321,103.581787,-8.56791306,57.6387711,83.8872528
1784707818577,-85.5953903,37.3511734,103.04908,-8.69791126,57.7013893,83.7387772
1784707818621,-85.357399,36.9390564,102.374786,-8.8061552,57.7755508,83.562149
1784707818665,-85.1685562,36.4340897,101.954033,-8.91408253,57.8636551,83.5918579
1784707818710,-84.9402924,35.876049,101.374992,-8.85298157,57.9352646,83.6753159
1784707818754,-84.6994858,35.4435768,100.851883,-8.82287407,57.9137611,83.681694
1784707818798,-84.3455963,35.1654968,100.395401,-8.89094067,57.8963242,83.6621933
1784707818842,-83.9845963,34.950222,99.9773636,-8.81513977,57.9254036,83.7160034
1784707818887,-83.7437134,34.6669731,99.6232452,-8.7658596,58.001812,83.8471298
1784707818931,-83.5498886,34.2820587,98.9729233,-8.69105339,58.1144791,83.9093781
1784707818975,-83.5187378,33.9458542,98.3091125,-8.6866169,58.1501541,83.9119415
1784707819019,-83.4708099,33.5951462,97.7384109,-8.9022398,58.1597061,83.7182083
1784707819064,-83.2908173,33.2215996,97.2798386,-8.98494053,58.1533089,83.6355057
1784707819108,-83.0087204,32.7722206,96.8245697,-8.9285965,58.1901855,83.6249008
1784707819152,-82.821907,32.3580856,96.4841614,-8.65286922,58.1989212,83.7992554
1784707819196,-82.6859512,31.8654881,96.0023193,-8.38845158,58.2995682,84.0032196
1784707819240,-82.7338562,31.2782097,95.3886337,-8.15112686,58.4248238,84.2150192
1784707819285,-82.8301926,30.6659718,94.7712173,-8.11075592,58.4674225,84.2624893
1784707819329,-82.7747421,30.0925713,94.1954422,-8.201931,58.5052338,84.194519
1784707819373,-82.7501068,29.6878872,93.9857407,-8.14147282,58.4441299,84.3228912
1784707819421,-82.6074066,29.275753,93.5253525,-7.99326801,58.4946632,84.4498138
1784707819466,-82.6602859,28.9708977,93.1382446,-7.87234497,58.501152,84.5544739
1784707819510,-82.7795639,28.705759,92.6907272,-7.88205147,58.4965897,84.5665359
1784707819554,-82.9210205,28.5457668,92.213356,-7.99668503,58.4878044,84.5389709
1784707819598,-82.989769,28.5916958,91.8275986,-8.09062958,58.430706,84.4634476
1784707819643,-82.8879166,28.8519382,91.4894791,-8.21622086,58.3744507,84.2342834
1784707819687,-82.6031265,29.095377,91.2058716,-8.53622437,58.3951645,83.8010788
1784707819731,-82.2606125,29.1654224,91.0848999,-8.71232033,58.4087944,83.5581818
1784707819775,-81.7996826,28.9860821,90.8110428,-8.81830788,58.4526901,83.4710236
1784707819819,-81.310051,28.7677956,90.3780441,-8.99436092,58.5129166,83.3193817
1784707819863,-80.8404236,28.637373,89.9680557,-9.24604988,58.53582,83.0912552
1784707819908,-80.2964706,28.6610355,89.6928711,-9.56686115,58.5013542,82.7122574
1784707819952,-79.6006241,28.6606979,89.6111984,-9.87211418,58.4515038,82.4136124
1784707819996,-78.8413696,28.6133156,89.7524872,-10.0042048,58.4024162,82.355896
1784707820041,-77.9622574,28.4810696,89.9686279,-10.1416388,58.3987846,82.3468475
1784707820085,-77.0218735,28.2611332,89.9548187,-10.1381712,58.4616089,82.3214111
1784707820130,-76.161644,27.9336147,89.864212,-10.2925692,58.5026741,82.1278
1784707820174,-75.4492111,27.6619759,89.9145889,-10.4876556,58.4057999,81.8905716
1784707820219,-74.6616669,27.4613914,90.0305023,-10.7578173,58.321312,81.5753403
1784707820263,-73.7038803,27.3183117,90.3513107,-10.9464302,58.242836,81.3628464
1784707820307,-73.7038803,27.3183117,90.3513107,-10.9464302,58.242836,81.3628464
1784707820357,-73.7038803,27.3183117,90.3513107,-10.9464302,58.242836,81.3628464
1784707820406,-73.7038803,27.3183117,90.3513107,-10.9464302,58.242836,81.3628464
1784707820456,-68.3252335,26.1056004,89.8011627,-10.9804859,58.8188629,80.865799
1784707820501,-67.4604416,26.1774635,90.5040741,-11.1848049,58.6706047,80.5839996
1784707820547,-66.4702759,26.2413635,91.4838409,-11.5136747,58.4358635,80.2689896
1784707820593,-66.4702759,26.2413635,91.4838409,-11.5136747,58.4358635,80.2689896
1784707820642,-66.4702759,26.2413635,91.4838409,-11.5136747,58.4358635,80.2689896
1784707820691,-62.4808159,26.4579792,93.9042892,-10.8019466,57.571312,80.7559662
1784707820736,-61.2246056,26.1907215,94.5517426,-11.2992954,57.4170723,80.4283981
1784707820781,-59.646595,25.5732117,94.8280258,-11.4655476,57.736721,79.5039825
1784707820827,-58.2978516,25.0617809,95.5068512,-11.7668371,57.6772614,79.2634735
1784707820872,-56.9067421,24.3302803,96.1466751,-11.9216557,57.6262779,79.1277618
1784707820918,-55.4014511,23.4674358,96.5571213,-11.9545078,57.6007462,79.1152267
1784707820964,-53.9972382,22.6890316,96.8239594,-11.6680241,57.5966568,79.3381729
1784707821010,-52.5846596,21.9179134,96.5449829,-11.709343,57.7961769,79.3582382
1784707821055,-51.6492424,21.349884,96.7247467,-11.5137491,57.8016434,79.4862289
1784707821099,-50.8854752,20.8542061,96.89151,-11.4894447,57.7885628,79.4019394
1784707821143,-50.1811523,20.468708,97.1406021,-11.5407276,57.6793823,79.2529984
1784707821186,-49.3798294,20.2177944,97.514595,-11.6161747,57.630909,79.0776367
1784707821230,-48.5301094,20.0583572,97.9127426,-11.5035954,57.5784111,79.1091919
1784707821274,-47.7474785,19.958477,98.4499512,-11.4418077,57.4779892,79.1154404
1784707821317,-46.9645729,19.9715481,98.968071,-11.332016,57.3860588,79.1470718
1784707821360,-46.2034531,20.0618362,99.532074,-11.2890768,57.3150406,79.1237335
1784707821404,-45.3364677,20.13451,100.080345,-11.2908068,57.288166,79.0498428
1784707821447,-44.4223785,20.1228409,100.551682,-11.2028437,57.2827759,79.0366364
1784707821491,-43.5991554,20.1300125,101.120399,-11.0608749,57.2155342,79.064209
1784707821534,-42.7639618,20.1399784,101.494499,-11.1031713,57.2126007,78.9278793
1784707821578,-41.9361191,20.2011719,101.930916,-11.1299515,57.1364555,78.7786331
1784707821621,-40.9940567,20.3108959,102.257294,-11.3304253,57.0859909,78.5066833
1784707821665,-39.9476929,20.4275684,102.471153,-11.6109457,57.1138115,78.2011948
1784707821710,-38.9484596,20.5520077,102.664528,-11.6500263,57.1427498,78.0888977
1784707821753,-38.0785637,20.694521,102.893272,-11.6711216,57.1162491,77.9439316
1784707821798,-37.2146873,20.8671188,102.953606,-11.8199377,57.089798,77.6922379
1784707821841,-36.3055954,21.0086765,103.01329,-12.0688343,57.1391029,77.3678436
1784707821885,-35.3670769,21.0796413,103.076157,-12.2217512,57.2120361,77.177681
1784707821928,-34.5035667,21.0931225,103.220886,-12.3136177,57.2380524,77.0462799
1784707821972,-33.7008171,21.1616459,103.303467,-12.3088446,57.196804,76.9700012
1784707822016,-32.9599266,21.4269638,103.438194,-12.34342,57.1513252,76.8393173
1784707822060,-32.3706856,21.81884,103.672752,-12.1733809,57.0342865,76.9479141
1784707822104,-31.7757339,22.0226173,103.824081,-12.2670326,57.1182747,76.824852
1784707822149,-31.1737423,22.0286846,103.966499,-12.2025709,57.2172394,76.8453522
1784707822194,-30.6814594,21.8666897,104.046371,-11.9965115,57.2711411,77.0398788
1784707822238,-30.3273621,21.6836166,104.098442,-11.7723894,57.2600937,77.2440414
1784707822283,-30.0132198,21.4756508,104.146561,-11.6894455,57.2623024,77.3618164
1784707822327,-29.6555042,21.1899967,104.12841,-11.6218681,57.3004837,77.3671494
1784707822372,-29.2802715,20.9200516,104.121063,-11.5723038,57.2931442,77.3277283
1784707822416,-28.9240875,20.716013,104.177017,-11.5194407,57.3011856,77.2404099
1784707822461,-28.5198269,20.37117,104.173378,-11.5288601,57.3712006,77.1213303
1784707822507,-28.0663395,19.8085289,104.259583,-11.6871386,57.3407745,76.9516602
1784707822551,-27.4074097,19.1778965,104.341675,-11.8872547,57.2018127,76.7599945
1784707822596,-26.4435253,18.6975689,104.44767,-11.9864187,57.1214142,76.6783981
1784707822641,-25.3155384,18.3130608,104.454498,-12.1449957,57.1753998,76.414566
1784707822684,-24.2050381,18.0943966,104.658127,-12.1580496,57.111805,76.2954865
1784707822728,-23.1553555,17.8290958,104.742081,-12.1417322,57.1135025,76.1942978
1784707822772,-22.2818394,17.4701366,104.786125,-12.1151009,57.0970879,76.0926285
1784707822815,-21.5827312,17.1056824,104.777718,-12.2299175,57.0410309,75.9087143
1784707822858,-20.8705997,16.8794479,104.857719,-12.4019003,56.9881325,75.7589951
1784707822902,-20.1185169,16.6492901,104.958145,-12.5650911,56.9764366,75.6027908
1784707822945,-19.2750568,16.4983311,105.065849,-12.6800613,56.9095078,75.4416809
1784707822988,-18.3091145,16.3470402,105.235878,-12.7625408,56.89785,75.2728348
1784707823032,-17.2938137,16.1394787,105.449211,-12.7118797,56.8892746,75.1891251
1784707823075,-16.4408436,15.8304415,105.680573,-12.4881926,56.873455,75.2805786
1784707823118,-15.7900314,15.5584955,105.851341,-12.4156551,56.8335991,75.280304
1784707823161,-15.1665192,15.3803911,106.110413,-12.4866343,56.807621,75.1547089
1784707823204,-14.3866081,15.2639265,106.427193,-12.6415758,56.7983971,74.989151
1784707823248,-13.4794979,15.1367216,106.826378,-12.7624149,56.7677002,74.7756119
1784707823291,-12.4925728,15.0914602,107.427071,-12.8845301,56.5988808,74.4967957
1784707823334,-11.3377132,15.3905525,108.77179,-12.9533482,56.1913033,74.2365875
1784707823378,-9.91710949,15.7914743,109.417282,-13.1713638,55.9804153,74.2549515
1784707823423,-8.52767754,16.1116982,110.440254,-13.1925268,56.0548782,73.8590622
1784707823468,-7.16498756,16.20858,111.157433,-13.4038181,55.8872757,73.9037933
1784707823513,-5.78113508,16.257534,112.059555,-13.6728745,55.7039261,73.6061096
1784707823558,-4.25532961,16.4211655,113.127014,-13.8885202,55.4962273,73.2698822
